source_refs,original_sha,subject,decision,canonical_replacement,reason
main,1e2befef75ffc4d68665049e4a14e55846344a50,Complete risk-first boundary-aware transport refactor,rejected_alternate_architecture,,Touches the full controller and theorem surface on a divergent API; scientific source wins.
main,4aea5ce87a61ff4d209d4fb303b00e495c17a746,Merge pull request #6 from Wu-kaixin/boundary-aware,merge_not_replayed,,Content is represented by its parent and the archived source tip.
main,398ef0b88621b89ca7d73864b589cd1a582ba246,"Accelerate DBACT sim with caches, Numba kernels, and batch jobs",deferred_requires_rederivation,,Probe produced ten conflicts including controller math and a deleted alternate CBF module; requires canonical trajectory-equivalence work.
main,9f0cd029e742511086ebc29819068f8671d91e78,Merge pull request #8 from Wu-kaixin/cursor/perf-acceleration-c299,merge_not_replayed,,Content is represented by 398ef0b and the archived source tip.
main,edce8546f2737627ee5e52925168d5823dd5f176,"Deepen package-level sim speedups: sensing, CBF, maps, metrics",deferred_requires_398ef0b,,Layered on the incompatible 398ef0b architecture and not independently portable.
main,72e5ef0c7940fbe9e4682b1b8527f99e59dccbcb,Merge pull request #9 from Wu-kaixin/cursor/perf-package-v2,merge_not_replayed,,Content is represented by edce854 and the archived source tip.
"A-v2;A-v3;Codex-v1;Codex-v2",bbf085132aee89c61ddbffd879aa0382416ee4c1,Implement bounded 500-frame transport loop,superseded_not_replayed,Claude-v1 D-series,Alternate closed-loop implementation predates the canonical measured controller.
"A-v2;A-v3;Codex-v1;Codex-v2",f1cc666224af8a56b20e5bf67c177f5e63625697,Implement zero-observation 500-frame closed loop,superseded_not_replayed,Claude-v1 D-series,Alternate search/transport implementation predates the canonical measured controller.
"A-v2;A-v3;Codex-v1;Codex-v2",f57f1c4e645d0ac9dce57f6086f50354659327c4,Add conditional arbitrary-shape workspace guarantee,rejected_claim_conflict,6774d62 and CONDITIONAL_GUARANTEE_V2,Arbitrary-shape wording is expressly not claimed; valid certificate structure was re-derived fail-closed.
A-v2,3faf1192911c297bb263f6677e195a803c3f1dc3,Merge pull request #5 from Wu-kaixin/A-boundary-aware-closed-loop-v3,merge_not_replayed,,No content beyond archived parents.
"A-v3;Codex-v1;Codex-v2",c7ede382882f6b67feb33ee67b21a0e0fe2d5c7e,Add adaptive progress and wrench closed loop,superseded_not_replayed,57d9d3b,Latest progress gain and symmetric arrival gate remain authoritative.
"A-v3;Codex-v1;Codex-v2",76dd600b30bbddabaa69fd978696058512e6d37f,Close robust safety with measured error bounds,rejected_claim_conflict,2d8fc37 and b5c8d7f,Later audit shows the declared general moving-boundary error regime is unsatisfied.
"A-v3;Codex-v1;Codex-v2",ea5c47fd4ee7261eda05150ea60ca34ef740a0b4,Validate activation-relative long-distance transport,superseded_not_replayed,27fca06 and 4ae646f,Scale-relative 180-case matrix and distance ablation are the canonical evidence.
"A-v3;Codex-v1;Codex-v2",90f029b521622fa01f2275db26cbab3c16b43dd4,Certify operational enclosure and conditional time bounds,rejected_claim_conflict,6774d62 and CONDITIONAL_GUARANTEE_V2,Finite-time bound remains unavailable because contraction rates are uncertified.
"A-v3;Codex-v1;Codex-v2",07259e3a2103047d81edf05b7927b3d54d8e265a,Validate arbitrary shapes without survivor bias,rejected_claim_conflict,592f68e,Unscreened matrix is retained but supports conditional transport rather than arbitrary-shape validity.
"A-v3;Codex-v1;Codex-v2",c96966e5afa0a4de19f3bc18a82e6c55e2e43fad,Optimize multirate mapping above 20 fps,superseded_not_replayed,a44c771,Degradation scheduling was reimplemented on the canonical API with exact default no-op tests.
"A-v3;Codex-v1;Codex-v2",22b45e8bf4ba6e5a655372664b0be2a94e172845,Close SE2 moving-boundary safety audit,superseded_not_replayed,2d8fc37,Canonical port preserves truth isolation and the negative default-off result.
"A-v3;Codex-v1;Codex-v2",1d701dee3bd10ad750e601c260c5b73af24e6815,Publish unscreened validation and research artifacts,superseded_artifacts_not_copied,592f68e,Canonical matrix commits the full denominator and later claim corrections.
"A-v3;Codex-v1;Codex-v2",0aee058b4745a153441c5c9005d9167197b2496e,Add reproducible H264 publication export,superseded_not_replayed,3fb7f24,H.264 rendering is retained through the trace-driven publication branch.
"A-v3;Codex-v1;Codex-v2",5633fc6d04173879fbf1e60ae69a9afc807b124f,Rewrite README around closed-loop research evidence,rejected_stale_claim_copy,,Predates the v2 claim ledger and arrival/ISSf corrections.
"A-v3;Codex-v1;Codex-v2",e4f32214f6ea3ffec5123f2d3cefe81aba2cab5c,Polish README phase diagram for GitHub,rejected_stale_claim_copy,,Predates the v2 claim ledger and would overwrite canonical documentation.
A-v3,c038829487ad7b6a15046dc79b9dfc95b3bfe83c,Merge pull request #7 from Wu-kaixin/Codex-boundary-aware-closed-loop-v1,merge_not_replayed,,No content beyond archived parents.
Codex-v2,68d53b29000205eb8ace13d424402cb01d1e36b3,V2-0 document closed-loop baseline,rejected_stale_audit_copy,,Historical baseline predates latest controller and is preserved by archive tag.
Codex-v2,7006f186e8894de20038586776842900aa9d25b3,V2-1 audit main simulation infrastructure,rejected_stale_audit_copy,,Audits a different main-based architecture.
Codex-v2,c953f5be881907e08f8af38bb569db439dd9dfa3,V2-2 decouple simulation from rendering traces,retained_via_hybrid,3fb7f24,Hybrid consolidates the trace schema on the Claude-v1 API.
Codex-v2,8bcf8cbc3e3117cb8eb27b942d2a1c5355882a70,V2-3 add trace-driven research world renderer,retained_via_hybrid,3fb7f24,Hybrid carries the renderer without the Codex controller history.
Codex-v2,9998b4aaa61226dd64eba66ebfbe5d6038becfba,V2-4 add phase-aware research HUD,retained_via_hybrid,3fb7f24,Hybrid carries the HUD and phase presentation.
Codex-v2,235c6a086c5848b421a5c9b2308dd1ec1ef7dee1,V2-5 add sensor map contact and push overlays,retained_via_hybrid,3fb7f24,Hybrid carries the trace-driven overlays.
Codex-v2,eccef75880f2eee40bc296b7b8e8bbda14b97942,V2-6 generate paper-quality figures A through G,retained_via_hybrid,3fb7f24,Hybrid carries Figures A-G on the consolidated trace schema.
Codex-v2,e7079d4a760c81ea1a80e1727a8b1463dfbc02e1,V2-7 add offline GIF and MP4 rendering,retained_via_hybrid,3fb7f24,Hybrid carries offline animation; encoder dependency was repaired in 1c9afd9.
Codex-v2,e3af3da99aa95df540fa10b33f055a43f9a90dba,V2-8 profile and optimize visualization performance,retained_via_hybrid,3fb7f24,Hybrid consolidates the visualization implementation; historical benchmark text is not copied.
Codex-v2,ffd272e1c75e6c6c4b6931ffb2f12684529dcfd0,V2-9 publish README showcase and final regression artifacts,rejected_stale_artifacts,093e163,Static binaries came from a different controller; manifest/package capability is retained via Hybrid.
Hybrid-v3,ab8f7502f78eb3c7837f12647dd02607bef3478f,checkpoint before checking out main,retained_tree_equivalent,6774d62,Tree hash is identical; canonical rewrite fixes the commit message without falsifying manifests.
Hybrid-v3,742b251477095b6eec0428c6d4a6ae43e2a5ac67,port(codex): the decisive matrix with a scale-relative task distance,retained_history_equivalent,27fca06,Canonical history rewrite; frozen manifests correctly keep the historical SHA.
Hybrid-v3,d5ce40a0efbaa42a6185ee7f2dbc95c45bcb18b7,results(v2): the decisive matrix its control and what they cost the claim,retained_history_equivalent,592f68e,Canonical history rewrite with unchanged result tree.
Hybrid-v3,3fb7f240906390ea98cf34f59f2ae568d4acd1bd,add trace-driven hybrid research visualization,included_publication,d18dbf1,Additive publication infrastructure; no scientific-core conflict.
Hybrid-v3,093e1630afa3a36d8ad3773d532fed1a9c68fc96,add traceable publication showcase,included_publication,c88cb79,Fail-closed selection manifest replay rendering and paired comparison infrastructure.
